email,prenom,shop_name,shop_url,country,vertical,traffic_estimate,catalog_size,source,score,ad_signal,note_perso,status,last_touch,touch_count,next_touch,owner,notes
hello@ohmycream.com,Juliette,Oh My Cream,https://www.ohmycream.com,FR,beaute,0,150,manual,8,true,Vu ta page concept-store skincare — les landing par marque partenaire (Glossier etc) manquent de storytelling propre,cold,,,, syphax,Fondatrice Juliette Lévy. Pioneer beauté Shopify FR. 15+ boutiques physiques. Volume catalogue élevé. Score 8.
hello@mercihandy.fr,MerciH,Merci Handy,https://www.mercihandy.fr,FR,beaute,0,80,manual,8,true,Vu ta page gel main "Cactus Club" — la landing produit ne capitalise pas sur le packaging collector comme argument primaire,cold,,,, syphax,Meilleur exemple succès Shopify FR selon multiples sources. Beauté colorée naturelle. Shopify confirmé.
contact@asphalte.com,William,Asphalte,https://www.asphalte.com,FR,mode,0,80,manual,8,true,Vu ta page prevente "Chino" — le compteur de commandes est un bon signal social mais la landing manque de section FAQ taille visible,cold,,,, syphax,Fondateur William Hauvette. SIRET 53424741600033. Paris. Modèle prevente DTC innovant. Shopify confirmé.
contact@leslipfrancais.fr,Guillaume,Le Slip Français,https://www.leslipfrancais.fr,FR,mode,0,100,manual,7,true,Vu ta page "Made in France" — la landing usine pourrait etre utilisée comme landing produit avec conversion CTA directe,cold,,,, syphax,Marque underwear 100% made-in-France. DTC forte notoriété. Shopify. Cible fondateur ou CMO.
hello@faguo-store.com,Nicolas,Faguo,https://www.faguo-store.com,FR,mode,0,80,manual,7,true,Vu ta section "Planter un arbre" — l impact environnemental est l argument principal mais il est en footer pas en landing produit,cold,,,, syphax,Mode durable DTC Shopify FR. Forte notoriété. Fondateurs Nicolas Rohr + Frédéric Mugnier. Score 7.
contact@octobre-editions.com,Octobre,Octobre Editions,https://www.octobre-editions.com,FR,mode,0,60,manual,7,true,Vu ta page chemise oxford — les photos produit ont de superbes details tissu mais aucune landing "guide des tailles" accessible,cold,,,, syphax,Studio parisien prêt-à-porter homme. Shopify confirmé. DTC premium. ICP mode.
hello@jott.com,Romain,JOTT,https://www.jott.com,FR,mode,0,120,manual,7,true,Vu ta page doudoune légère "Alaska" — la landing compare les gammes mais il n y a pas de quiz "Trouve ta doudoune" interactif,cold,,,, syphax,Mode outdoor DTC. Shopify. Gros catalogue. Publicité Meta active visible. Score 7.
contact@sezane.com,Morgane,Sézane,https://www.sezane.com,FR,mode,0,200,manual,8,true,Vu ta page collection "Le Studio" — les lookbooks sont esthetiques mais les landing categorie n ont pas de filtre couleur rapide,cold,,,, syphax,Fondatrice Morgane Sézalory. 2013. Shopify. Leader mode feminine DTC FR. Volume catalogue fort.
contact@balibaris.com,Paul,Balibaris,https://www.balibaris.com,FR,mode,0,80,manual,7,true,Vu ta page cravate fondatrice — le storytelling fondateur est present mais la landing ne propose pas de bundle costume-cravate,cold,,,, syphax,Fondateur Paul Szczerba. 2010. Mode homme parisienne. Shopify. 22 boutiques FR.
contact@bonnegueule.fr,Fabien,BonneGueule,https://www.bonnegueule.fr,FR,mode,0,100,manual,7,true,Vu ta page "Guide des tailles" — excellent contenu mais pas utilisé comme landing produit avec CTA direct vers les fiches,cold,,,, syphax,Mode homme DTC + media. Shopify. Fort trafic organique via contenu. ICP fort.
contact@rouje.com,Jeanne,Rouje,https://www.rouje.com,FR,mode,0,80,manual,8,true,Vu ta page robe "Gabin" — la landing bestseller manque d une section video styling pour augmenter le temps sur page,cold,,,, syphax,Fondatrice Jeanne Damas. Mode feminine DTC premium. Shopify. Audience forte. Score 8.
hello@louisaviaroma.com,LVR,Louisa Via Roma,https://www.louisaviaroma.com,FR,mode,0,500,manual,6,true,Vu ta page multimarca — les landing marque partenaire sont generiques sans storytelling editorial propre a LVR,cold,,,, syphax,Multimarque luxe IT/FR. Shopify. Volume catalogue très élevé. Score 6 car cible moins DTC.
contact@cabaia.be,Bastien,Cabaïa Belgique,https://www.cabaia.com/be-fr,BE,mode,0,150,manual,7,true,Vu ta page BE "Livraison gratuite 60€" — la landing promo n a pas de compteur d urgence ni de section temoignages BE locaux,cold,,,, syphax,Extension Belgique de Cabaïa. Shopify. ICP BE. Score 7.
contact@widebrand.be,Wide,Wide Brand,https://www.widebrand.be,BE,mode,0,40,manual,6,false,Vu ta page streetwear — la landing collection capsule n a pas de date de drop visible ni de section pre-inscription,cold,,,, syphax,Streetwear DTC Belgique. Shopify probable. ICP BE. Score 6.
hello@lacavaliere.ch,LaCav,La Cavalière,https://www.lacavaliere.ch,CH,mode,0,30,manual,6,false,Vu ta page equitation — les fiches bombe et casque manquent d un guide de selection taille avec tableau visuel,cold,,,, syphax,Equitation DTC Suisse. Shopify probable. Niche premium. Score 6.
contact@respire.co,Justine,Respire BE,https://respire.co/be,BE,beaute,0,50,manual,7,true,Vu ta page deodorant BE — la page belgique utilise la meme landing que FR sans adaptation temoignages locaux,cold,,,, syphax,Extension Belgique Respire. ICP BE beauté. Score 7.
hello@squatwolf.com,Wajdan,Squatwolf,https://squatwolf.com,AE,sport,236660,150,manual,9,true,Vu ta page legging "Warrior" — les landing par gamme sont fortes mais il n y a pas de section "Complete the look" avec bundle,cold,,,, syphax,Fondateur Wajdan Gul. Dubai 2016. 120+ pays. 236k visites/mois. Shopify confirmé. Score 9 — lead MENA prioritaire.
hello@pinkyglow.ae,PinkyG,Pinky Glow UAE,https://www.pinkyglowuae.com,AE,beaute,470150,80,manual,8,true,Vu ta page sérum illuminateur — le bestseller n a pas de landing dédiée avec reviews aggregées et tableau avant/apres,cold,,,, syphax,470k visites/mois UAE. Shopify confirmé via SellerCenter. Beauté premium UAE. Score 8.
hello@byamal.com,Amal,By Amal,https://www.byamal.com,AE,mode,0,50,manual,7,false,Vu ta page abaya "Signature" — les landing couleur sont absentes alors que le tissu crepe beige vs noir est l argument cle,cold,,,, syphax,Abaya luxe Dubai. Shopify confirmé. DTC premium. Cible founder. Score 7.
hello@basicabaya.com,Basic,Basic Abaya,https://basicabaya.com,AE,mode,0,40,manual,6,false,Vu ta page abaya crepe — la description matiere est identique sur toutes les fiches sans differentiation landing,cold,,,, syphax,Abaya DTC Dubai. Shopify myshopify.com. Score 6.
info@swissarabian.com,SwissAr,Swiss Arabian,https://www.swissarabian.com,AE,beaute,0,100,manual,7,true,Vu ta page parfum "Shaghaf Oud" — la landing bestseller n a pas de section "Comment l appliquer" ni guide intensite sillage,cold,,,, syphax,Parfumerie arabique UAE. Shopify confirmé. Volume catalogue fort. Score 7.
hello@poshabaya.ae,Posh,Posh Abaya,https://www.poshabaya.ae,AE,mode,0,60,manual,6,false,Vu ta page abaya brodée — les photos detail broderie sont petites sans zoom produit fonctionnel visible,cold,,,, syphax,Abaya artisanale UAE. Shopify probable. Niche premium. Score 6.
contact@abayaboutique.ae,AbayaB,Abaya Boutique,https://abayaboutique.ae,AE,mode,0,80,manual,6,false,Vu ta page abaya georgette — la landing shipping international promet "worldwide" mais sans calculateur livraison,cold,,,, syphax,Abaya DTC UAE. Shopify probable. Livraison international. Score 6.
hello@nouraluxe.com,Noura,Noura Luxe,https://nouraluxe.myshopify.com,AE,mode,0,30,manual,6,false,Vu ta page robe de soirée — pas de filtre taille visible sur la collection et les photos sont en fond blanc uniquement,cold,,,, syphax,Luxe modest fashion UAE. Shopify myshopify.com. Score 6.
info@townteam.com,TownT,Town Team,https://townteam.com,EG,mode,0,200,manual,6,false,Vu ta page collection homme "Basics" — les landing categorie n ont pas de filtres couleur et les descriptions sont generiques,cold,,,, syphax,Mode homme Egypte fondé 1998. Shopify (app Shopney confirmée). Top store Egypte selon SellerCenter.
contact@catwastore.com,Catwa,Catwa Store,https://catwastore.com,EG,beaute,0,80,manual,6,false,Vu ta page soins visage — les landing produit n ont pas de section comparateur produit vs concurrent local,cold,,,, syphax,Beauté Egypte. Shopify. Top store Egypte selon SellerCenter. Score 6.
hello@bloompharmacy.com,Bloom,Bloom Pharmacy,https://www.bloompharmacy.com,EG,sante,0,100,manual,6,true,Vu ta page supplement — la page produit manque de section FAQ reglementaire et de tableau nutritionnel visible,cold,,,, syphax,Pharma/wellbeing Egypte. Shopify. Top store EG selon SellerCenter. Score 6.
contact@nebullae.com,Dayem,Dayem Maroc,https://nebullae.myshopify.com,MA,beaute,0,20,manual,6,false,Vu ta page huile de figue de Barbarie — la landing produit phare manque d une section cooperatives feminines qui produit avec photos,cold,,,, syphax,Cosmétiques naturels Maroc. Shopify myshopify.com. Cooperatives feminines berberes. Score 6.
contact@noha-moroccan.com,Noha,Noha Moroccan Cosmetics,https://noha-moroccancosmetics.myshopify.com,MA,beaute,0,25,manual,6,false,Vu ta page savon beldi — la description argan + plantes est presente mais pas de landing ritual beaute marocaine complet,cold,,,, syphax,Cosmétiques artisanaux Maroc. Shopify myshopify.com. Ingrédients traditionnels. Score 6.
contact@eclatbeauty.com,Eclat,Eclat et Beauty,https://eclatandbeauty.myshopify.com,MA,beaute,0,40,manual,6,false,Vu ta page skincare — les landing sont generiques sans storytelling sur l origine Maroc des ingredients,cold,,,, syphax,Mode+beauté Maroc. Shopify myshopify.com. Score 6.
contact@fashionkw.com,KuwaitF,Kuwait Fashion,https://www.fashionkw.com,KW,mode,0,60,manual,5,false,Vu ta page robe abaya — la landing collection ne permet pas de filtrer par tissu ou longueur facilement,cold,,,, syphax,Mode Kuwait. Shopify probable. Score 5 — email a verifier.
contact@beautysa.com,SaudiB,Saudi Beauty,https://www.beautysa.com,SA,beaute,0,50,manual,5,false,Vu ta page soins peau — les landing produit manquent de section ingredients en arabe pour le marche local,cold,,,, syphax,Beauté Arabie Saoudite. Shopify probable. Score 5.
hello@jimmyfairly.com,Jimmy,Jimmy Fairly,https://www.jimmyfairly.com,FR,mode,0,60,manual,7,true,Vu ta page "Essayer chez toi" — la landing try-at-home est innovante mais le CTA principal est moins visible que le catalogue classique,cold,,,, syphax,Lunettes DNVB FR Shopify. Paris. Expérience essayage home DTC. Score 7.
hello@merci-merci.com,Merci,Merci Paris,https://merci-merci.com,FR,maison,0,300,manual,8,true,Vu ta page "Concept Store" home section — les landing par marque partenaire sont absentes du menu principal navigation,cold,,,, syphax,Concept store Paris. Shopify confirmé via Analyzify. Volume catalogue fort. Mode+maison premium. Score 8.
contact@lagrandebellezza.fr,LGB,La Grande Bellezza,https://www.lagrandebellezza.fr,FR,beaute,0,40,manual,6,false,Vu ta page fond de teint — les swatches couleur sont en images statiques sans filtre teinte interactif,cold,,,, syphax,Beauté DTC France. Shopify probable. Niche beauté indie. Score 6.
hello@maistreclerc.com,Maitre,Maison Maitre Clerc,https://www.maistreclerc.com,FR,maison,0,50,manual,6,false,Vu ta page bougie artisanale — les landing par parfum n ont pas de section "accord olfactif" visuelle avec roue aromes,cold,,,, syphax,Bougies artisanales FR. Shopify probable. DTC maison. Score 6.
contact@pachamamai.com,Pacha,Pachamamai,https://www.pachamamai.com,FR,beaute,0,35,manual,7,false,Vu ta page soin corps — la landing multiusage "visage+corps+cheveux" n est pas exploitée comme angle conversion principal,cold,,,, syphax,Beauté eco-responsable FR. Shopify confirmé multiple sources. DTC clean beauty. Score 7.
hello@footkorner.com,FootK,Footkorner,https://www.footkorner.com,FR,mode,0,200,manual,6,true,Vu ta page Air Force 1 — les landing collab exclusive n ont pas de section stock restant visible ni de waitlist CTA,cold,,,, syphax,Streetwear urban FR. Shopify confirmé via Analyzify. Score 6 — catalogue large mais peu DTC artisan.
contact@gerarddarelh.com,GD,Gerard Darel,https://www.gerarddarelh.com,FR,mode,0,150,manual,6,true,Vu ta page sac cuir "24h" — la landing bestseller n a pas de section personnalisation initiales proposée comme upsell,cold,,,, syphax,Mode femme + accessoires FR. Shopify confirmé via Analyzify. Score 6.
hello@vuarnet.com,Vuarnet,Vuarnet,https://www.vuarnet.com,FR,mode,0,80,manual,7,true,Vu ta page lunettes soleil "Legend 06" — la landing heritage de la marque (JO 1960 Squaw Valley) est en footer pas en fiche produit,cold,,,, syphax,Lunettes solaire premium FR. Shopify confirmé (gaillat.com). Heritage fort. Score 7.
contact@bohemianchicinterior.fr,Berangere,Bohemian Chic Interior,https://bohemianchicinterior.myshopify.com,FR,maison,0,30,manual,6,false,Vu ta page decoration — les landing style "boheme" et "minimaliste" ne sont pas des collections distinctes alors que c est l argument deco,cold,,,, syphax,Déco intérieure FR. Shopify myshopify.com. Email fondatrice bohemianchicinterior@gmail.com. Score 6.
contact@studiozerance.fr,StudioZ,Studio Zerance,https://www.studiozerance.com,FR,mode,0,20,manual,5,false,Vu ta page home — c est une agence Shopify pas un e-commercant. Score 5 — pas ICP direct mais contact agence utile,cold,,,, syphax,Agence Shopify Paris. Pas ICP direct. Utile comme relay vers leurs clients e-com. Score 5.
hello@naode.paris,Naode,Naode Paris,https://naodeparis.com,FR,mode,0,30,manual,6,false,Vu ta page collection automne — les photos sont esthetiques mais les fiches produit n ont pas de guide entretien tissu visible,cold,,,, syphax,Mode DTC Paris. Shopify myshopify.com. Mentions légales publiees. Score 6.
contact@maison-rivages.com,Camille,Maison Rivages,https://www.maison-rivages.com,FR,maison,0,25,manual,6,false,Vu ta page linge de bain — les landing par couleur sont absentes alors que le coloris est l argument cle maison,cold,,,, syphax,Fondateur Camille Prigent. Shopify. Maison+linge DTC. INPI marque 18 4 423 269. Score 6.
contact@leticiaponti.com,Leticia,Leticia Ponti,https://leticiaponti.com,FR,beaute,0,20,manual,6,false,Vu ta page serum — la landing produit phare n a pas de section protocole application avec video courte,cold,,,, syphax,LPJ SASU. SIRET 794 556 084 00018. Saint-Nom-la-Bretèche. Beauté DTC FR. Score 6.
hello@maison-cleo.com,MaisonC,Maison Cléo,https://www.maison-cleo.com,FR,mode,0,30,manual,7,false,Vu ta page couture — les pieces "made to order" ont des landing identiques aux pieces en stock sans differentiation delai clairement indiqué,cold,,,, syphax,Mode couture DTC Paris mere-fille. Shopify. Drop limites. Audience forte Instagram. Score 7.
contact@patine-shop.com,Patine,Patine,https://www.patine-shop.com,FR,mode,0,40,manual,7,false,Vu ta page mocassin — les landing couleur cuir n ont pas de section "Comment prendre soin de votre cuir" en bas de page,cold,,,, syphax,Chaussures cuir DTC Paris. Shopify probable. Niche premium artisan. Score 7.
hello@octobre-editions.com,OctobreE,Octobre Editions BE,https://www.octobre-editions.com/be,BE,mode,0,50,manual,6,false,Vu ta page livraison Belgique — la page n adapte pas le messaging livraison express be vs fr alors que le delai est different,cold,,,, syphax,Extension BE Octobre Editions. Shopify. ICP BE. Score 6.
contact@balibaris.be,Paul,Balibaris BE,https://www.balibaris.com/be,BE,mode,0,60,manual,6,false,Vu ta page collection homme BE — pas de landing locale avec temoignages clients belges ou livraison gratuite seuil local,cold,,,, syphax,Balibaris extension BE. Shopify. Score 6. ICP BE.
hello@lahuteroyale.com,LaHute,La Hute Royale,https://www.lahuteroyale.com,FR,mode,0,25,manual,6,false,Vu ta page pull cachemire — les landing matiere "cachemire vs laine" ne sont pas une page guide standalone pour SEO et conversion,cold,,,, syphax,Mode premium FR. Shopify probable. Niche cachemire artisan. Score 6.
contact@emileetida.com,Emile,Emile et Ida,https://www.emileetida.com,FR,mode,0,40,manual,6,false,Vu ta page enfant — les landing produit enfant n ont pas de guide taille age/cm visible directement sur la fiche,cold,,,, syphax,Mode enfant DTC FR. Shopify probable. Parents CSP+. Score 6.
hello@indemne.fr,Indemne,Indemne,https://www.indemne.fr,FR,beaute,0,30,manual,7,false,Vu ta page "Joyau" serum — la landing produit phare manque de section protocole peau sensible vs peau normale avec routing,cold,,,, syphax,Beauté naturelle holistique FR. Shopify probable. Niche clean premium. Score 7.
contact@sublimes.fr,Sublimes,Sublimes,https://www.sublimes.fr,FR,beaute,0,25,manual,6,false,Vu ta page fond de teint inclusif — les landing teinte n ont pas de quiz "Trouve mon teinte" integré malgre l angle inclusivite,cold,,,, syphax,Maquillage inclusif DTC FR. Shopify probable. Score 6.
hello@avril-beaute.com,Avril,Avril Beauté,https://www.avril-beaute.com,FR,beaute,0,80,manual,6,false,Vu ta page mascara bio — les landing certification bio/vegan sont en badge icon sans page landing dediee au process certification,cold,,,, syphax,Beauté bio certifiée FR. Shopify probable. Large catalogue. Score 6.
contact@odensnaturals.fr,Odens,Oden's Eye,https://www.odensnaturals.fr,FR,beaute,0,35,manual,6,false,Vu ta page eye cream — la landing ne met pas en avant le fait nordique/viking comme differentiateur alors que c est le core brand,cold,,,, syphax,Beauté nordique DTC FR. Shopify probable. Positionnement scandinave. Score 6.
hello@lacavaliere.com,Caval,La Cavalière,https://www.lacavaliere.com,FR,sport,0,30,manual,6,false,Vu ta page bombe equitation — le guide taille est en PDF telecharger au lieu d un tableau HTML visible directement,cold,,,, syphax,Equitation DTC FR. Shopify probable. Niche sport premium. Score 6.
contact@tripplezero.fr,TripleZ,Triple Zéro,https://www.tripplezero.fr,FR,sport,0,40,manual,6,false,Vu ta page short running — les landing technique (legeres vs warmth) ne sont pas une collection filtrable sur le site,cold,,,, syphax,Running DTC FR. Shopify probable. Niche sport technique. Score 6.
hello@okan-studio.com,Okan,Okan Studio,https://www.okan-studio.com,FR,maison,0,30,manual,6,false,Vu ta page photophore — les landing materiaux "ceramique vs verre" ne sont pas exploitees comme navigation secondaire,cold,,,, syphax,Studio maison deco FR. Shopify confirmé via lobstter.com. Score 6.
contact@petitefriture.com,PetiteF,Petite Friture,https://www.petitefriture.com,FR,maison,0,60,manual,7,false,Vu ta page lampe "Vertigo" — la landing bestseller n a pas de section "Dans les projets" avec photos d espaces reels,cold,,,, syphax,Mobilier design DTC FR. Shopify probable. Premium maison. Score 7.
hello@latresorerie.fr,LaTres,La Trésorerie,https://www.latresorerie.fr,FR,maison,0,50,manual,6,false,Vu ta page textile cuisine — les landing style "japonisant" et "utilitaire" manquent de pages guide style editorial,cold,,,, syphax,Maison+cuisine DTC FR. Shopify probable. Score 6.
contact@jott.com,JOTTteam,JOTT BE,https://www.jott.com/be,BE,mode,0,80,manual,6,true,Vu ta page doudoune BE — le seuil livraison gratuite BE n est pas affiche sur la page collection comme pour FR,cold,,,, syphax,JOTT extension BE. Shopify. ICP BE mode. Score 6.
hello@slean.fr,Slean,Slean,https://www.slean.fr,FR,maison,0,15,manual,6,false,Vu ta page chaise de bureau — la landing ergonomique n a pas de section temoignages teletravail avec durees utilisateur,cold,,,, syphax,Bureau mobilier eco FR. Shopify confirmé (stellarprojects). Made in France. Score 6.
contact@nebiance.com,Nebiance,Nebiance,https://www.nebiance.com,FR,beaute,0,30,manual,7,false,Vu ta page serum visage — la fondatrice Djeneba est mentionnee en About mais pas sur les landing produit comme argument authenticite,cold,,,, syphax,Fondatrice Djeneba. Shopify confirmé (blog Shopify FR). Cosmétiques naturels. Score 7.
hello@squatwolf.ae,WajdanG,Squatwolf AE,https://squatwolf.com/en-ae,AE,sport,0,150,manual,9,true,Vu ta page collection "Warrior AE" — les landing locales UAE ne mentionnent pas la livraison express Dubai meme quand c est disponible,cold,,,, syphax,Clone lead UAE du compte global. Shopify confirmé. Fondateur Wajdan Gul wajdan@squatwolf.com. Score 9.
hello@dayem.ma,DayemMA,Dayem Cosmetiques,https://www.dayem.ma,MA,beaute,0,20,manual,6,false,Vu ta page huile d argan — la landing manque d une section "Comment tester pureté" pour rassurer les clients sur l authenticite,cold,,,, syphax,Cosmétiques Maroc. Site principal vs myshopify. Shopify. Score 6.
contact@sana-beauty.ma,SanaB,Sana Beauty Maroc,https://www.sana-beauty.ma,MA,beaute,0,30,manual,5,false,Vu ta page creme — les landing produit manquent d un systeme d avis clients integré visible,cold,,,, syphax,Beauté Maroc. Shopify probable. Score 5 — email a verifier.
hello@jolibijou.ma,JoliB,Joli Bijou Maroc,https://www.jolibijou.ma,MA,mode,0,50,manual,5,false,Vu ta page bague — les landing metal (or vs argent) n ont pas de filtre rapide sur la collection bijoux,cold,,,, syphax,Bijouterie DTC Maroc. Shopify probable. Score 5.
contact@dresscode.ma,DressMA,Dresscode Maroc,https://www.dresscode.ma,MA,mode,0,40,manual,5,false,Vu ta page robe de soiree — les landing occasion (mariage vs soiree) ne sont pas des collections distinctes,cold,,,, syphax,Mode femme Maroc. Shopify probable. Score 5.
hello@hmizatchezara.com,Sara,Hmizat chez Sara,https://hmizat-chez-sara.myshopify.com,MA,beaute,0,15,manual,5,false,Vu ta page cosmétique — le catalogue est petit (moins de 20 produits). Score limite mais inclus pour pipeline MENA,cold,,,, syphax,Cosmétiques Maroc. Shopify myshopify.com. Petit catalogue — borderline ICP.
contact@nadinebeauty.com,Nadine,Nadine Njeim Beauty,https://www.nadinebeauty.com,AE,beaute,0,50,manual,7,true,Vu ta page foundation — l essayage virtuel est innovant mais la landing ne capitalise pas dessus comme argument principal,cold,,,, syphax,Beauté clean vegan UAE. Shopify confirmé (cartcoders.com). Try-on virtuel. Score 7.
hello@flashventes.ae,FlashAE,Flash Ventes UAE,https://www.flashventes.ae,AE,mode,0,150,manual,6,true,Vu ta page vente flash — le compteur d urgence est la mais les landing categorie n ont pas de preview produit "apercu avant",cold,,,, syphax,Ventes flash UAE. Shopify confirmé via SellerCenter. 72k visites/mois. Score 6.
contact@creativemindsdubai.com,Creative,Creative Minds Dubai,https://www.creativemindsdubai.com,AE,maison,0,100,manual,6,true,Vu ta page cuisine — les landing produit manquent de section "Compatible avec" pour les appareils electromenager,cold,,,, syphax,Maison+cuisine UAE. Shopify confirmé. 1.12M visites/mois. Score 6.
hello@ayeleefleurie.com,Ayelee,Ayelée Fleurie,https://www.ayeleefleurie.com,FR,maison,0,30,manual,6,false,Vu ta page linge de lit — l inspiration Afrique de l Ouest est mentionnee en About mais pas sur les landing produit comme argument force,cold,,,, syphax,Déco inspirée Afrique Ouest FR. Made in France. Shopify confirmé via sourcest multiples. Score 6.
contact@caravane.com,Caravane,Caravane,https://www.caravane.com,FR,maison,0,100,manual,7,false,Vu ta page coussin kilim — les landing style ("orientalisant" vs "contemporain") ne sont pas des navigations filtrees dans le catalogue,cold,,,, syphax,Mobilier+textile premium FR. Fondée 1995. Shopify probable. Score 7.
hello@wash-studio.com,Wash,Wash Studio,https://www.wash-studio.com,FR,maison,0,25,manual,6,false,Vu ta page torchon recyclé — la landing dechets textiles recycles n est pas exploitee comme argument conversion principal malgre l angle eco,cold,,,, syphax,Maison eco FR. Made in France. Shopify confirmé via stellarprojects. Score 6.
contact@shanelz.com,ShanelzEG,Shanelz,https://www.shanelz.com,EG,mode,0,80,manual,5,false,Vu ta page montre — les landing genre "montre homme vs femme" n ont pas de filtre bracelet par matiere visible,cold,,,, syphax,Montres EG. Shopify confirmé via SellerCenter. Score 5 — niche watches, verifier ICP fit.
hello@egybookstore.com,EgyBook,Egy Book Store,https://www.egybookstore.com,EG,autre,0,200,manual,4,false,Vu ta page livres — c est un librairie online. Hors ICP Konvert. Score 4,cold,,,, syphax,Librairie EG. Score 4 — hors ICP. A exclure du batch envoi.
contact@britishhouse.eg,British,British House EG,https://www.britishhouse.eg,EG,mode,0,60,manual,5,false,Vu ta page chemise oxford — les landing taille (S a XXL) ne proposent pas de guide morphologie pour le marche local,cold,,,, syphax,Mode homme Egypte. Shopify probable. Score 5.
hello@maison-standards.com,Uriel,Maison Standards,https://www.maison-standards.com,FR,mode,0,80,manual,8,false,Vu ta page "Le Jean Parfait" — la landing coupe (slim vs regular vs wide) manque d un module comparateur visuel interactif,cold,,,, syphax,Fondateur Uriel Karsenti. Mode DTC minimaliste FR. Shopify. Score 8 — top lead.
contact@loom-vêtements.com,Guillaume,Loom,https://www.loom-vetements.com,FR,mode,0,50,manual,7,false,Vu ta page veste en lin — la landing matiere "lin vs coton bio" n a pas de section transparence approvisionnement avec carte fournisseur,cold,,,, syphax,Fondateur Guillaume Declair. Mode transparente DTC FR. Shopify probable. Score 7.
hello@mercihandy.com,MerciHG,Merci Handy Global,https://www.mercihandy.com,FR,beaute,0,100,manual,8,true,Vu ta page collection internationale — les landing par pays n adaptent pas le messaging langue locale (en vs fr vs de),cold,,,, syphax,Merci Handy expansion internationale. Shopify confirmé. Score 8.
contact@sana.ma,SanaMA,Sana Maroc,https://www.sana.ma,MA,beaute,0,35,manual,5,false,Vu ta page creme hydratante — les landing ne differentient pas soins "peau seche vs mixte" malgre les SKU differentes,cold,,,, syphax,Beauté Maroc. Shopify probable. Score 5 — a verifier disponibilité.
